year,county,cause,sex,age_code,N
108,0102,05,1,20,2
108,0102,05,1,21,6
108,0102,05,1,22,1
108,0102,05,1,23,1
108,0102,05,1,24,1
108,0102,05,1,25,2
108,0102,05,1,26,1
108,0102,05,2,16,2
108,0102,05,2,17,1
108,0102,05,2,18,2
108,0102,05,2,20,2
108,0102,05,2,21,1
108,0102,05,2,22,1
108,0102,05,2,23,3
108,0102,05,2,24,1
108,0102,06,1,21,2
108,0102,07,1,12,1
108,0102,07,1,13,1
108,0102,07,1,14,2
108,0102,07,1,16,3
108,0102,07,1,17,2
108,0102,07,1,18,5
108,0102,07,1,19,7
108,0102,07,1,20,6
108,0102,07,1,21,12
108,0102,07,1,22,7
108,0102,07,1,23,3
108,0102,07,1,24,5
108,0102,07,1,25,2
108,0102,07,2,14,1
108,0102,07,2,15,2
108,0102,07,2,16,2
108,0102,07,2,17,3
108,0102,07,2,19,1
108,0102,07,2,20,5
108,0102,07,2,21,4
108,0102,07,2,22,5
108,0102,07,2,23,5
108,0102,07,2,24,2
108,0102,07,2,25,2
108,0102,08,1,12,1
108,0102,08,1,15,2
108,0102,08,1,16,2
108,0102,08,1,17,5
108,0102,08,1,18,4
108,0102,08,1,19,6
108,0102,08,1,20,8
108,0102,08,1,21,12
108,0102,08,1,22,7
108,0102,08,1,23,3
108,0102,08,1,24,4
108,0102,08,2,17,1
108,0102,08,2,18,1
108,0102,08,2,19,4
108,0102,08,2,20,3
108,0102,08,2,21,2
108,0102,08,2,22,7
108,0102,08,2,23,7
108,0102,08,2,24,5
108,0102,08,2,25,2
108,0102,09,1,17,1
108,0102,09,1,20,1
108,0102,09,1,21,1
108,0102,09,1,23,1
108,0102,09,2,22,1
108,0102,09,2,23,1
108,0102,09,2,24,1
108,0102,10,1,15,1
108,0102,10,1,16,1
108,0102,10,1,17,2
108,0102,10,1,18,3
108,0102,10,1,19,2
108,0102,10,1,20,3
108,0102,10,1,21,3
108,0102,10,1,22,4
108,0102,10,1,23,3
108,0102,10,1,24,2
108,0102,10,2,16,1
108,0102,10,2,17,1
108,0102,10,2,20,3
108,0102,10,2,21,4
108,0102,10,2,22,1
108,0102,10,2,23,1
108,0102,10,2,24,2
108,0102,10,2,25,1
108,0102,11,1,20,1
108,0102,11,1,21,1
108,0102,12,1,20,1
108,0102,12,1,21,1
108,0102,13,1,14,1
108,0102,13,1,16,1
108,0102,13,1,17,4
108,0102,13,1,18,8
108,0102,13,1,19,5
108,0102,13,1,20,6
108,0102,13,1,21,8
108,0102,13,1,22,11
108,0102,13,1,23,10
108,0102,13,1,24,10
108,0102,13,1,25,3
108,0102,13,1,26,1
108,0102,13,2,14,1
108,0102,13,2,15,2
108,0102,13,2,16,1
108,0102,13,2,17,4
108,0102,13,2,18,8
108,0102,13,2,19,9
108,0102,13,2,20,3
108,0102,13,2,21,9
108,0102,13,2,22,9
108,0102,13,2,23,6
108,0102,13,2,24,6
108,0102,13,2,26,1
108,0102,14,1,21,1
108,0102,14,2,19,1
108,0102,14,2,23,1
108,0102,15,1,19,1
108,0102,17,1,20,1
108,0102,17,1,26,1
108,0102,17,2,24,1
108,0102,18,1,12,1
108,0102,18,1,19,1
108,0102,18,1,20,1
108,0102,18,1,23,1
108,0102,18,2,14,1
108,0102,18,2,16,1
108,0102,18,2,18,1
108,0102,18,2,20,1
108,0102,18,2,23,2
108,0102,18,2,24,1
108,0102,19,2,13,1
108,0102,19,2,14,5
108,0102,19,2,15,5
108,0102,19,2,16,3
108,0102,19,2,17,4
108,0102,19,2,18,7
108,0102,19,2,19,6
108,0102,19,2,20,1
108,0102,19,2,21,2
108,0102,19,2,22,2
108,0102,19,2,23,5
108,0102,19,2,24,1
108,0102,19,2,25,1
108,0102,20,2,13,1
108,0102,20,2,14,1
108,0102,20,2,15,1
108,0102,20,2,16,1
108,0102,20,2,19,2
108,0102,20,2,21,1
108,0102,20,2,23,2
108,0102,21,2,14,1
108,0102,21,2,16,3
108,0102,21,2,17,1
108,0102,21,2,18,1
108,0102,21,2,19,2
108,0102,21,2,20,2
108,0102,21,2,21,1
108,0102,21,2,23,1
108,0102,21,2,24,1
108,0102,22,2,15,1
108,0102,22,2,16,1
108,0102,22,2,17,3
108,0102,22,2,18,1
108,0102,22,2,20,3
108,0102,22,2,21,1
108,0102,22,2,22,1
108,0102,23,1,16,1
108,0102,23,1,17,1
108,0102,23,1,18,1
108,0102,23,1,19,1
108,0102,23,1,20,1
108,0102,23,1,22,4
108,0102,23,1,23,4
108,0102,23,1,24,9
108,0102,23,1,25,2
108,0102,24,1,16,1
108,0102,24,1,23,1
108,0102,25,1,18,1
108,0102,25,1,21,1
108,0102,25,1,23,1
108,0102,26,1,21,1
108,0102,26,1,22,3
108,0102,26,1,24,2
108,0102,26,2,21,1
108,0102,26,2,22,2
108,0102,26,2,23,1
108,0102,26,2,24,1
108,0102,27,1,16,1
108,0102,27,1,17,1
108,0102,27,1,19,1
108,0102,27,1,20,1
108,0102,27,2,08,1
108,0102,27,2,12,1
108,0102,27,2,15,1
108,0102,27,2,16,1
108,0102,27,2,18,1
108,0102,27,2,19,1
108,0102,27,2,20,1
108,0102,27,2,22,2
108,0102,27,2,23,1
108,0102,29,1,19,1
108,0102,29,1,21,1
108,0102,29,2,16,1
108,0102,29,2,21,1
108,0102,30,1,12,1
108,0102,31,1,15,1
108,0102,31,1,18,1
108,0102,31,1,19,1
108,0102,31,1,20,1
108,0102,31,1,21,4
108,0102,31,1,22,3
108,0102,31,1,23,3
108,0102,31,1,24,1
108,0102,31,1,25,1
108,0102,31,2,17,1
108,0102,31,2,18,1
108,0102,31,2,21,1
108,0102,31,2,22,1
108,0102,31,2,23,2
108,0102,31,2,24,1
108,0102,31,2,25,2
108,0102,32,1,11,1
108,0102,32,1,18,1
108,0102,32,1,20,2
108,0102,32,1,21,4
108,0102,32,1,22,1
108,0102,32,1,23,2
